timestamp,sensor,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration,connection_state,alert_signature,alert_category,severity,ml_label,ml_confidence,evidence_summary,tcp_flags,dns_query,http_host,tls_sni
1777725029.230440919,wireshark,20.50.201.201,192.168.1.7,443,48932,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.230441486,wireshark,20.50.201.201,192.168.1.7,443,48932,eth:ethertype:ip:tcp:tls,308,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.230519444,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.230585022,wireshark,142.251.36.206,192.168.1.7,443,59048,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.230584853,wireshark,142.251.208.238,192.168.1.7,443,35358,eth:ethertype:ip:tcp:tls,105,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.230585083,wireshark,142.251.36.206,192.168.1.7,443,59048,eth:ethertype:ip:tcp:tls,105,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.272418414,wireshark,192.168.1.7,142.251.36.206,59048,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.272460519,wireshark,192.168.1.7,142.251.208.238,35358,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.820410953,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725029.923198458,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725030.821137281,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725030.868892123,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725031.822123466,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725031.892943900,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725032.822671784,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725032.864285511,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725032.917367365,wireshark,104.18.39.21,192.168.1.7,443,58776,eth:ethertype:ip:tcp:tls,90,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725032.917388476,wireshark,192.168.1.7,104.18.39.21,58776,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725032.917456986,wireshark,192.168.1.7,104.18.39.21,58776,443,eth:ethertype:ip:tcp:tls,94,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725033.123273155,wireshark,104.18.39.21,192.168.1.7,443,58776,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725033.823470769,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725033.941608090,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725034.823585595,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725034.865788074,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725035.479464500,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,103,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725035.479465468,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,108,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
